,TotUnder5,Hispanic,GroupQuarter,LEPspanHHs,TotPopBornOutUS,Renter_TOTAL,HH_SingleParent,HH_Renter_Crowded,Poverty_Less100,Poverty_Less200,Units_2Plus,NoInternet,CellularOnly,HHer15to34,clusters
1210,81,67,0,0,177,669,57,8,150,299,790,125,83,357,4
1211,366,40,176,0,283,1042,208,36,573,1228,1194,274,159,424,4
1212,117,171,0,0,112,198,208,0,333,764,154,194,103,97,4
1213,393,230,0,0,490,626,279,16,423,1681,521,186,169,480,4
1214,405,84,215,15,232,1305,413,94,459,1626,1155,171,339,475,1
1215,404,79,17,0,342,280,82,0,127,307,200,179,98,135,4
1216,419,329,0,69,1257,2736,84,155,584,1621,2701,258,418,1355,3
1217,305,85,51,0,581,496,204,0,145,711,652,125,81,237,4
1218,227,0,0,0,311,228,96,0,76,263,28,76,118,99,4
1219,398,167,0,0,1008,16,83,0,176,816,0,28,105,88,4
1220,173,22,0,0,146,250,76,8,112,236,222,59,68,118,4
1221,116,114,0,0,181,223,32,0,246,418,186,94,33,167,4
1222,223,242,0,0,438,363,73,0,34,420,404,56,99,203,4
1223,659,299,0,0,894,1733,409,12,557,1594,1842,121,339,645,3
1224,834,344,0,26,2269,2104,160,140,351,1029,2022,135,248,1233,3
1225,262,0,0,0,436,206,52,30,49,202,141,48,129,169,3
1226,712,275,0,0,1512,645,205,0,241,572,355,154,158,273,4
1227,390,324,89,0,421,460,290,0,459,1360,61,111,214,283,4
1228,274,11,0,0,76,65,99,0,48,300,0,59,55,246,4
1229,248,198,0,0,422,53,72,0,138,528,12,61,74,171,4
1230,71,51,0,0,61,523,148,50,740,1014,201,248,55,172,1
1231,432,94,0,0,94,1039,393,72,1345,2165,1160,271,449,501,3
1232,619,299,0,89,306,1712,563,91,1887,3247,1838,170,789,785,3
1233,125,229,0,18,158,655,189,6,429,909,477,119,201,262,1
1234,455,453,0,25,343,2241,368,107,770,2538,2375,174,864,1278,3
1235,244,224,0,40,214,1896,259,31,897,2139,2322,531,429,690,3
1236,445,911,0,61,589,590,236,59,1290,1891,41,174,209,248,3
1237,990,854,0,39,520,2156,904,99,2124,4301,1867,227,1036,1333,3
1238,715,816,0,13,336,1050,576,102,2959,4470,0,280,488,674,2
1239,419,802,0,61,593,473,228,12,463,1942,0,204,306,215,3
1240,452,451,76,0,527,406,199,0,254,1718,0,245,209,121,4
1241,395,296,0,17,301,1162,505,14,476,1733,672,260,434,592,3
1242,383,459,0,15,261,414,375,59,907,1729,0,122,322,199,3
1243,620,436,0,39,358,465,516,50,941,1908,124,125,143,269,3
1244,344,414,0,31,243,725,225,8,497,1420,427,141,233,337,1
1245,64,70,0,0,243,182,156,7,296,589,0,108,61,142,4
